id_venta,fecha,pais,ciudad,cliente,producto,categoria,talla,cantidad,precio_unitario
35,2024-01-18,Ecuador,Quito,Cliente_217,Jeans,Denim,L,4,35
36,2024-02-26,Ecuador,Guayaquil,Cliente_282,Zapatos,Calzado,38,1,50
37,2024-01-22,Ecuador,Quito,Cliente_209,Camiseta,Básicos,S,2,12
38,2024-01-22,Colombia,Medellín,Cliente_195,Jeans,Denim,M,1,35
39,2024-02-24,Ecuador,Guayaquil,Cliente_285,Chaqueta,Abrigos,L,3,60
40,2024-01-28,Perú,Arequipa,Cliente_30,Jeans,Denim,S,3,35
41,2024-03-15,Perú,Lima,Cliente_245,Chaqueta,Abrigos,M,1,60
42,2024-01-24,Perú,Lima,Cliente_36,Camiseta,Básicos,L,1,12
43,2024-03-13,Perú,Lima,Cliente_127,Jeans,Denim,M,1,35
44,2024-03-13,Perú,Lima,Cliente_268,Camiseta,Básicos,M,5,12
45,2024-01-31,Colombia,Medellín,Cliente_136,Jeans,Denim,L,3,35
46,2024-01-10,Colombia,Bogotá,Cliente_5,Chaqueta,Abrigos,L,3,60
47,2024-01-28,Colombia,Cali,Cliente_260,Camiseta,Básicos,S,5,12
48,2024-02-17,Colombia,Bogotá,Cliente_146,Chaqueta,Abrigos,M,2,60
49,2024-02-08,Ecuador,Guayaquil,Cliente_54,Chaqueta,Abrigos,M,5,60
50,2024-01-20,Ecuador,Guayaquil,Cliente_140,Camiseta,Básicos,S,5,12
51,2024-01-27,Colombia,Cali,Cliente_136,Jeans,Denim,L,3,35
52,2024-03-22,Perú,Arequipa,Cliente_217,Chaqueta,Abrigos,M,1,60
53,2024-03-22,Colombia,Bogotá,Cliente_135,Camiseta,Básicos,M,2,12
54,2024-03-12,Ecuador,Cuenca,Cliente_5,Zapatos,Calzado,41,4,50
55,2024-02-17,Ecuador,Quito,Cliente_299,Jeans,Denim,L,1,35
56,2024-02-09,Perú,Lima,Cliente_187,Zapatos,Calzado,38,1,50
57,2024-03-26,Ecuador,Guayaquil,Cliente_53,Jeans,Denim,L,2,35
58,2024-01-31,Colombia,Cali,Cliente_84,Zapatos,Calzado,41,2,50
59,2024-02-22,Ecuador,Guayaquil,Cliente_128,Camiseta,Básicos,S,3,12
60,2024-03-01,Colombia,Bogotá,Cliente_114,Camiseta,Básicos,M,1,12
61,2024-01-29,Ecuador,Guayaquil,Cliente_13,Chaqueta,Abrigos,L,2,60
62,2024-01-09,Perú,Lima,Cliente_143,Zapatos,Calzado,39,3,50
63,2024-02-12,Colombia,Cali,Cliente_15,Zapatos,Calzado,42,5,50
64,2024-01-05,Ecuador,Guayaquil,Cliente_56,Jeans,Denim,L,3,35
65,2024-03-18,Perú,Arequipa,Cliente_262,Chaqueta,Abrigos,L,4,60
66,2024-03-31,Ecuador,Guayaquil,Cliente_224,Jeans,Denim,M,1,35
67,2024-01-09,Ecuador,Cuenca,Cliente_170,Jeans,Denim,M,4,35
68,2024-03-05,Perú,Arequipa,Cliente_159,Camiseta,Básicos,L,3,12
69,2024-03-11,Perú,Arequipa,Cliente_66,Chaqueta,Abrigos,L,3,60
70,2024-03-19,Ecuador,Guayaquil,Cliente_292,Zapatos,Calzado,42,2,50
71,2024-01-27,Colombia,Medellín,Cliente_221,Camiseta,Básicos,M,3,12
72,2024-03-27,Perú,Arequipa,Cliente_110,Zapatos,Calzado,40,4,50
73,2024-02-06,Perú,Arequipa,Cliente_264,Jeans,Denim,L,1,35
74,2024-01-29,Perú,Arequipa,Cliente_102,Camiseta,Básicos,S,3,12
75,2024-03-19,Ecuador,Quito,Cliente_38,Camiseta,Básicos,S,4,12
76,2024-03-04,Colombia,Medellín,Cliente_205,Jeans,Denim,L,4,35
77,2024-01-29,Ecuador,Quito,Cliente_91,Camiseta,Básicos,S,4,12
78,2024-01-16,Perú,Arequipa,Cliente_234,Camiseta,Básicos,L,2,12
79,2024-03-05,Ecuador,Guayaquil,Cliente_219,Chaqueta,Abrigos,L,5,60
80,2024-02-27,Perú,Arequipa,Cliente_133,Jeans,Denim,L,4,35
81,2024-02-05,Ecuador,Cuenca,Cliente_226,Chaqueta,Abrigos,L,2,60
82,2024-02-12,Ecuador,Cuenca,Cliente_164,Chaqueta,Abrigos,M,3,60
83,2024-02-19,Perú,Lima,Cliente_79,Jeans,Denim,S,2,35
84,2024-02-12,Perú,Lima,Cliente_278,Camiseta,Básicos,M,4,12
85,2024-02-19,Colombia,Medellín,Cliente_300,Camiseta,Básicos,S,4,12
86,2024-02-15,Perú,Lima,Cliente_153,Zapatos,Calzado,40,1,50
87,2024-02-04,Colombia,Medellín,Cliente_224,Jeans,Denim,M,2,35
88,2024-01-22,Colombia,Bogotá,Cliente_240,Zapatos,Calzado,39,4,50
89,2024-03-13,Ecuador,Cuenca,Cliente_14,Camiseta,Básicos,M,5,12
90,2024-01-24,Ecuador,Cuenca,Cliente_26,Zapatos,Calzado,38,4,50
91,2024-02-11,Colombia,Medellín,Cliente_173,Chaqueta,Abrigos,M,4,60
92,2024-03-01,Colombia,Medellín,Cliente_10,Zapatos,Calzado,39,1,50
93,2024-03-24,Perú,Lima,Cliente_21,Chaqueta,Abrigos,M,1,60
94,2024-01-20,Ecuador,Quito,Cliente_123,Jeans,Denim,S,5,35
95,2024-02-29,Ecuador,Guayaquil,Cliente_132,Camiseta,Básicos,L,2,12
96,2024-01-14,Colombia,Bogotá,Cliente_297,Camiseta,Básicos,S,3,12
97,2024-01-10,Ecuador,Guayaquil,Cliente_125,Zapatos,Calzado,40,2,50
98,2024-01-06,Ecuador,Cuenca,Cliente_178,Chaqueta,Abrigos,M,5,60
99,2024-03-23,Perú,Arequipa,Cliente_175,Chaqueta,Abrigos,M,5,60
100,2024-02-16,Ecuador,Guayaquil,Cliente_236,Zapatos,Calzado,37,4,50
101,2024-03-24,Perú,Lima,Cliente_139,Zapatos,Calzado,38,5,50
102,2024-02-04,Perú,Arequipa,Cliente_166,Zapatos,Calzado,40,5,50
103,2024-02-29,Ecuador,Quito,Cliente_292,Chaqueta,Abrigos,L,2,60
104,2024-02-11,Perú,Arequipa,Cliente_94,Chaqueta,Abrigos,M,4,60
105,2024-02-05,Colombia,Bogotá,Cliente_142,Chaqueta,Abrigos,L,3,60
106,2024-02-22,Perú,Lima,Cliente_251,Jeans,Denim,S,2,35
107,2024-02-27,Perú,Lima,Cliente_9,Zapatos,Calzado,42,4,50
108,2024-02-09,Ecuador,Guayaquil,Cliente_298,Jeans,Denim,M,2,35
109,2024-02-12,Colombia,Medellín,Cliente_181,Chaqueta,Abrigos,L,5,60
110,2024-01-30,Perú,Arequipa,Cliente_62,Chaqueta,Abrigos,L,3,60
111,2024-03-29,Perú,Lima,Cliente_95,Chaqueta,Abrigos,M,5,60
112,2024-03-08,Ecuador,Quito,Cliente_145,Zapatos,Calzado,39,5,50
113,2024-01-23,Ecuador,Quito,Cliente_155,Chaqueta,Abrigos,M,3,60
114,2024-01-07,Ecuador,Cuenca,Cliente_284,Jeans,Denim,M,1,35
115,2024-01-14,Colombia,Cali,Cliente_7,Jeans,Denim,L,4,35
116,2024-02-13,Perú,Arequipa,Cliente_95,Zapatos,Calzado,40,4,50
117,2024-02-21,Ecuador,Guayaquil,Cliente_252,Zapatos,Calzado,37,1,50
118,2024-03-13,Ecuador,Cuenca,Cliente_156,Camiseta,Básicos,S,2,12
119,2024-03-18,Ecuador,Quito,Cliente_116,Camiseta,Básicos,L,4,12
120,2024-03-16,Perú,Arequipa,Cliente_220,Zapatos,Calzado,40,3,50
121,2024-01-27,Colombia,Cali,Cliente_109,Camiseta,Básicos,L,1,12
122,2024-01-23,Colombia,Cali,Cliente_283,Camiseta,Básicos,S,2,12
123,2024-03-29,Ecuador,Quito,Cliente_241,Camiseta,Básicos,M,4,12
124,2024-03-30,Colombia,Bogotá,Cliente_233,Jeans,Denim,M,3,35
125,2024-03-25,Ecuador,Cuenca,Cliente_102,Jeans,Denim,M,5,35
126,2024-02-04,Colombia,Bogotá,Cliente_73,Jeans,Denim,L,2,35
127,2024-03-13,Ecuador,Quito,Cliente_148,Jeans,Denim,M,5,35
128,2024-03-30,Colombia,Bogotá,Cliente_207,Zapatos,Calzado,42,3,50
129,2024-03-17,Colombia,Cali,Cliente_21,Zapatos,Calzado,40,1,50
130,2024-01-12,Colombia,Cali,Cliente_118,Chaqueta,Abrigos,L,1,60
131,2024-03-01,Perú,Lima,Cliente_266,Chaqueta,Abrigos,M,2,60
132,2024-02-25,Perú,Arequipa,Cliente_252,Chaqueta,Abrigos,M,5,60
133,2024-02-11,Ecuador,Guayaquil,Cliente_54,Chaqueta,Abrigos,L,3,60
134,2024-02-06,Ecuador,Guayaquil,Cliente_206,Zapatos,Calzado,42,4,50
135,2024-02-02,Perú,Lima,Cliente_166,Zapatos,Calzado,37,3,50
136,2024-02-29,Ecuador,Guayaquil,Cliente_212,Camiseta,Básicos,L,5,12
137,2024-01-07,Ecuador,Quito,Cliente_105,Chaqueta,Abrigos,L,4,60
138,2024-03-30,Colombia,Cali,Cliente_249,Jeans,Denim,M,4,35
139,2024-02-09,Ecuador,Quito,Cliente_283,Jeans,Denim,L,2,35
140,2024-01-15,Ecuador,Cuenca,Cliente_237,Zapatos,Calzado,37,2,50
141,2024-03-06,Ecuador,Cuenca,Cliente_140,Jeans,Denim,M,3,35
142,2024-03-11,Colombia,Medellín,Cliente_75,Zapatos,Calzado,38,4,50
143,2024-02-23,Colombia,Bogotá,Cliente_175,Jeans,Denim,S,3,35
144,2024-03-16,Perú,Arequipa,Cliente_297,Camiseta,Básicos,M,3,12
145,2024-03-02,Perú,Arequipa,Cliente_177,Jeans,Denim,M,5,35
146,2024-01-25,Colombia,Cali,Cliente_123,Zapatos,Calzado,40,3,50
147,2024-02-10,Perú,Arequipa,Cliente_243,Jeans,Denim,M,1,35
148,2024-03-04,Perú,Arequipa,Cliente_19,Zapatos,Calzado,42,2,50
149,2024-01-13,Ecuador,Cuenca,Cliente_270,Chaqueta,Abrigos,M,4,60
150,2024-01-10,Colombia,Bogotá,Cliente_241,Jeans,Denim,M,2,35
151,2024-02-12,Colombia,Medellín,Cliente_274,Zapatos,Calzado,42,1,50
152,2024-03-20,Colombia,Medellín,Cliente_36,Zapatos,Calzado,41,1,50
153,2024-02-25,Ecuador,Cuenca,Cliente_51,Chaqueta,Abrigos,M,1,60
154,2024-01-04,Perú,Lima,Cliente_24,Zapatos,Calzado,38,3,50
155,2024-02-25,Colombia,Bogotá,Cliente_75,Chaqueta,Abrigos,L,3,60
156,2024-01-22,Ecuador,Cuenca,Cliente_90,Zapatos,Calzado,41,2,50
157,2024-03-04,Ecuador,Cuenca,Cliente_299,Zapatos,Calzado,41,2,50
158,2024-02-28,Ecuador,Quito,Cliente_131,Zapatos,Calzado,42,3,50
159,2024-01-21,Perú,Lima,Cliente_38,Zapatos,Calzado,39,5,50
160,2024-02-28,Colombia,Medellín,Cliente_155,Chaqueta,Abrigos,L,3,60
161,2024-02-18,Ecuador,Guayaquil,Cliente_293,Zapatos,Calzado,37,2,50
162,2024-03-25,Colombia,Cali,Cliente_203,Chaqueta,Abrigos,L,1,60
163,2024-02-06,Colombia,Bogotá,Cliente_118,Camiseta,Básicos,L,4,12
164,2024-03-20,Perú,Arequipa,Cliente_129,Jeans,Denim,L,2,35
165,2024-02-09,Perú,Lima,Cliente_226,Camiseta,Básicos,L,1,12
166,2024-02-07,Ecuador,Cuenca,Cliente_168,Chaqueta,Abrigos,M,1,60
167,2024-03-10,Perú,Arequipa,Cliente_188,Jeans,Denim,S,2,35
168,2024-02-07,Perú,Arequipa,Cliente_174,Jeans,Denim,M,4,35
169,2024-03-27,Ecuador,Guayaquil,Cliente_204,Camiseta,Básicos,S,2,12
170,2024-02-03,Perú,Arequipa,Cliente_275,Camiseta,Básicos,M,1,12
171,2024-02-18,Ecuador,Guayaquil,Cliente_191,Chaqueta,Abrigos,L,5,60
172,2024-03-20,Ecuador,Cuenca,Cliente_288,Jeans,Denim,M,1,35
173,2024-03-22,Colombia,Cali,Cliente_238,Jeans,Denim,L,1,35
174,2024-01-06,Perú,Arequipa,Cliente_20,Zapatos,Calzado,37,2,50
175,2024-03-09,Colombia,Medellín,Cliente_70,Camiseta,Básicos,S,2,12
176,2024-01-20,Colombia,Medellín,Cliente_213,Chaqueta,Abrigos,L,5,60
177,2024-02-05,Perú,Lima,Cliente_17,Zapatos,Calzado,41,4,50
178,2024-01-31,Perú,Arequipa,Cliente_186,Jeans,Denim,M,4,35
179,2024-02-20,Ecuador,Cuenca,Cliente_142,Chaqueta,Abrigos,L,1,60
180,2024-03-23,Ecuador,Quito,Cliente_11,Zapatos,Calzado,37,2,50
181,2024-01-27,Ecuador,Guayaquil,Cliente_36,Jeans,Denim,S,5,35
182,2024-01-19,Perú,Lima,Cliente_2,Jeans,Denim,S,3,35
183,2024-01-23,Colombia,Bogotá,Cliente_57,Jeans,Denim,L,3,35
184,2024-01-31,Perú,Lima,Cliente_166,Jeans,Denim,S,3,35
185,2024-02-23,Ecuador,Quito,Cliente_270,Chaqueta,Abrigos,M,2,60
186,2024-02-16,Ecuador,Cuenca,Cliente_263,Camiseta,Básicos,M,4,12
187,2024-03-19,Perú,Lima,Cliente_23,Zapatos,Calzado,41,2,50
188,2024-01-08,Perú,Arequipa,Cliente_246,Zapatos,Calzado,42,1,50
189,2024-01-10,Colombia,Medellín,Cliente_42,Camiseta,Básicos,M,4,12
190,2024-02-05,Colombia,Cali,Cliente_300,Jeans,Denim,S,2,35
191,2024-02-07,Perú,Arequipa,Cliente_233,Zapatos,Calzado,41,5,50
192,2024-03-24,Perú,Arequipa,Cliente_283,Camiseta,Básicos,L,1,12
193,2024-02-22,Perú,Lima,Cliente_174,Zapatos,Calzado,40,2,50
194,2024-02-10,Colombia,Medellín,Cliente_219,Zapatos,Calzado,42,1,50
195,2024-03-28,Colombia,Cali,Cliente_243,Chaqueta,Abrigos,L,2,60
196,2024-01-13,Ecuador,Quito,Cliente_191,Camiseta,Básicos,S,4,12
197,2024-03-12,Ecuador,Cuenca,Cliente_169,Camiseta,Básicos,L,5,12
198,2024-01-07,Perú,Lima,Cliente_148,Zapatos,Calzado,39,4,50
199,2024-03-05,Perú,Arequipa,Cliente_109,Chaqueta,Abrigos,M,5,60
200,2024-02-14,Ecuador,Cuenca,Cliente_285,Zapatos,Calzado,38,1,50
201,2024-03-12,Colombia,Bogotá,Cliente_286,Chaqueta,Abrigos,M,4,60
202,2024-02-04,Ecuador,Cuenca,Cliente_159,Chaqueta,Abrigos,M,2,60
203,2024-03-13,Colombia,Medellín,Cliente_206,Camiseta,Básicos,S,2,12
204,2024-01-28,Ecuador,Quito,Cliente_193,Camiseta,Básicos,S,5,12
205,2024-02-09,Colombia,Medellín,Cliente_167,Chaqueta,Abrigos,M,3,60
206,2024-03-20,Perú,Lima,Cliente_26,Camiseta,Básicos,S,2,12
207,2024-03-03,Perú,Lima,Cliente_227,Chaqueta,Abrigos,L,4,60
208,2024-02-14,Colombia,Medellín,Cliente_221,Jeans,Denim,L,1,35
209,2024-01-06,Ecuador,Guayaquil,Cliente_113,Zapatos,Calzado,41,3,50
210,2024-02-08,Colombia,Cali,Cliente_109,Camiseta,Básicos,S,2,12
211,2024-01-01,Ecuador,Guayaquil,Cliente_255,Chaqueta,Abrigos,L,1,60
212,2024-03-09,Perú,Arequipa,Cliente_118,Jeans,Denim,S,4,35
213,2024-02-25,Perú,Arequipa,Cliente_10,Camiseta,Básicos,M,1,12
214,2024-02-21,Colombia,Bogotá,Cliente_214,Chaqueta,Abrigos,L,5,60
215,2024-01-22,Colombia,Bogotá,Cliente_236,Zapatos,Calzado,37,3,50
216,2024-02-01,Perú,Arequipa,Cliente_224,Camiseta,Básicos,M,1,12
217,2024-02-13,Perú,Arequipa,Cliente_114,Camiseta,Básicos,M,3,12
218,2024-03-08,Colombia,Bogotá,Cliente_262,Camiseta,Básicos,L,1,12
219,2024-01-14,Ecuador,Guayaquil,Cliente_75,Chaqueta,Abrigos,M,2,60
220,2024-03-24,Colombia,Bogotá,Cliente_39,Jeans,Denim,L,2,35
221,2024-03-15,Ecuador,Cuenca,Cliente_230,Zapatos,Calzado,40,5,50
222,2024-01-09,Perú,Arequipa,Cliente_241,Chaqueta,Abrigos,M,4,60
223,2024-01-08,Colombia,Cali,Cliente_181,Chaqueta,Abrigos,L,5,60
224,2024-01-05,Perú,Lima,Cliente_30,Chaqueta,Abrigos,L,4,60
225,2024-03-19,Colombia,Medellín,Cliente_260,Camiseta,Básicos,L,1,12
226,2024-03-24,Colombia,Medellín,Cliente_97,Camiseta,Básicos,M,5,12
227,2024-01-08,Colombia,Cali,Cliente_231,Zapatos,Calzado,41,2,50
228,2024-01-06,Ecuador,Guayaquil,Cliente_127,Camiseta,Básicos,L,2,12
229,2024-03-19,Perú,Arequipa,Cliente_82,Zapatos,Calzado,41,5,50
230,2024-02-13,Colombia,Medellín,Cliente_27,Chaqueta,Abrigos,L,4,60
231,2024-03-12,Perú,Arequipa,Cliente_198,Camiseta,Básicos,M,1,12
232,2024-03-15,Colombia,Medellín,Cliente_73,Jeans,Denim,M,1,35
233,2024-03-31,Colombia,Medellín,Cliente_44,Zapatos,Calzado,38,5,50
234,2024-01-17,Colombia,Cali,Cliente_270,Zapatos,Calzado,42,3,50
235,2024-01-03,Ecuador,Cuenca,Cliente_186,Zapatos,Calzado,41,3,50
236,2024-01-25,Colombia,Bogotá,Cliente_116,Jeans,Denim,M,4,35
237,2024-03-05,Ecuador,Quito,Cliente_277,Camiseta,Básicos,M,1,12
238,2024-02-18,Perú,Lima,Cliente_79,Chaqueta,Abrigos,M,5,60
239,2024-01-06,Ecuador,Quito,Cliente_211,Jeans,Denim,L,4,35
240,2024-02-06,Colombia,Cali,Cliente_230,Jeans,Denim,M,5,35
241,2024-01-25,Ecuador,Cuenca,Cliente_189,Jeans,Denim,M,4,35
242,2024-03-05,Perú,Arequipa,Cliente_271,Zapatos,Calzado,39,4,50
243,2024-02-02,Colombia,Bogotá,Cliente_27,Jeans,Denim,L,2,35
244,2024-01-16,Perú,Arequipa,Cliente_146,Chaqueta,Abrigos,M,5,60
245,2024-01-19,Ecuador,Quito,Cliente_224,Chaqueta,Abrigos,L,5,60
246,2024-02-23,Ecuador,Quito,Cliente_28,Zapatos,Calzado,39,1,50
247,2024-01-11,Colombia,Cali,Cliente_192,Chaqueta,Abrigos,M,4,60
248,2024-01-19,Ecuador,Quito,Cliente_71,Chaqueta,Abrigos,M,3,60
249,2024-03-31,Ecuador,Guayaquil,Cliente_241,Zapatos,Calzado,42,2,50
250,2024-02-02,Colombia,Cali,Cliente_111,Camiseta,Básicos,S,1,12
251,2024-01-31,Ecuador,Cuenca,Cliente_155,Zapatos,Calzado,37,3,50
252,2024-02-28,Ecuador,Quito,Cliente_33,Jeans,Denim,M,5,35
253,2024-03-14,Ecuador,Guayaquil,Cliente_124,Camiseta,Básicos,L,5,12
254,2024-03-19,Perú,Lima,Cliente_181,Chaqueta,Abrigos,L,1,60
255,2024-03-08,Ecuador,Cuenca,Cliente_185,Zapatos,Calzado,38,1,50
256,2024-01-06,Ecuador,Cuenca,Cliente_199,Camiseta,Básicos,M,4,12
257,2024-02-14,Colombia,Medellín,Cliente_124,Camiseta,Básicos,M,1,12
258,2024-02-15,Perú,Lima,Cliente_280,Chaqueta,Abrigos,M,1,60
259,2024-03-30,Colombia,Cali,Cliente_246,Jeans,Denim,L,4,35
260,2024-01-05,Perú,Lima,Cliente_151,Jeans,Denim,S,4,35
261,2024-02-09,Ecuador,Quito,Cliente_264,Jeans,Denim,S,3,35
262,2024-03-23,Colombia,Cali,Cliente_98,Zapatos,Calzado,39,1,50
263,2024-02-04,Colombia,Medellín,Cliente_64,Camiseta,Básicos,L,3,12
264,2024-02-19,Colombia,Medellín,Cliente_174,Zapatos,Calzado,42,4,50
265,2024-02-04,Ecuador,Guayaquil,Cliente_43,Zapatos,Calzado,39,5,50
266,2024-01-24,Perú,Arequipa,Cliente_280,Camiseta,Básicos,M,5,12
267,2024-03-25,Colombia,Medellín,Cliente_152,Camiseta,Básicos,S,3,12
268,2024-02-14,Colombia,Medellín,Cliente_229,Zapatos,Calzado,38,4,50
269,2024-03-22,Ecuador,Cuenca,Cliente_30,Chaqueta,Abrigos,L,3,60
270,2024-03-27,Ecuador,Cuenca,Cliente_82,Zapatos,Calzado,39,5,50
271,2024-01-09,Ecuador,Quito,Cliente_121,Zapatos,Calzado,37,2,50
272,2024-01-05,Perú,Arequipa,Cliente_79,Chaqueta,Abrigos,L,5,60
273,2024-01-10,Perú,Arequipa,Cliente_294,Chaqueta,Abrigos,L,4,60
274,2024-03-24,Ecuador,Cuenca,Cliente_143,Chaqueta,Abrigos,L,3,60
275,2024-03-04,Ecuador,Quito,Cliente_266,Camiseta,Básicos,L,2,12
276,2024-03-31,Colombia,Cali,Cliente_229,Camiseta,Básicos,M,3,12
277,2024-01-16,Ecuador,Cuenca,Cliente_70,Chaqueta,Abrigos,L,2,60
278,2024-01-12,Ecuador,Guayaquil,Cliente_164,Jeans,Denim,L,4,35
279,2024-02-07,Perú,Arequipa,Cliente_154,Camiseta,Básicos,L,5,12
280,2024-01-29,Ecuador,Cuenca,Cliente_63,Jeans,Denim,M,5,35
281,2024-02-16,Ecuador,Quito,Cliente_284,Jeans,Denim,M,1,35
282,2024-03-19,Perú,Arequipa,Cliente_45,Zapatos,Calzado,41,2,50
283,2024-03-08,Ecuador,Guayaquil,Cliente_211,Zapatos,Calzado,42,4,50
284,2024-03-23,Colombia,Cali,Cliente_38,Camiseta,Básicos,S,3,12
285,2024-03-22,Colombia,Medellín,Cliente_94,Chaqueta,Abrigos,M,5,60
286,2024-01-20,Ecuador,Guayaquil,Cliente_156,Camiseta,Básicos,S,5,12
287,2024-03-07,Ecuador,Quito,Cliente_146,Chaqueta,Abrigos,M,3,60
288,2024-02-05,Ecuador,Guayaquil,Cliente_65,Jeans,Denim,L,5,35
289,2024-03-16,Perú,Arequipa,Cliente_298,Camiseta,Básicos,L,2,12
290,2024-01-11,Ecuador,Quito,Cliente_24,Chaqueta,Abrigos,M,1,60
291,2024-03-20,Perú,Arequipa,Cliente_16,Jeans,Denim,L,4,35
292,2024-02-01,Colombia,Cali,Cliente_208,Chaqueta,Abrigos,L,4,60
293,2024-01-21,Colombia,Medellín,Cliente_226,Camiseta,Básicos,L,1,12
294,2024-03-18,Colombia,Medellín,Cliente_74,Zapatos,Calzado,38,3,50
295,2024-01-17,Colombia,Cali,Cliente_190,Chaqueta,Abrigos,L,4,60
296,2024-01-16,Perú,Lima,Cliente_137,Chaqueta,Abrigos,M,4,60
297,2024-02-07,Colombia,Bogotá,Cliente_197,Jeans,Denim,S,1,35
298,2024-03-14,Perú,Arequipa,Cliente_161,Jeans,Denim,S,3,35
299,2024-03-04,Ecuador,Quito,Cliente_158,Zapatos,Calzado,41,4,50
300,2024-02-28,Colombia,Bogotá,Cliente_124,Camiseta,Básicos,M,5,12
301,2024-02-06,Ecuador,Cuenca,Cliente_254,Chaqueta,Abrigos,M,1,60
302,2024-02-25,Perú,Arequipa,Cliente_69,Chaqueta,Abrigos,M,1,60
303,2024-01-06,Colombia,Cali,Cliente_206,Chaqueta,Abrigos,L,3,60
304,2024-02-06,Ecuador,Cuenca,Cliente_38,Jeans,Denim,M,5,35
305,2024-03-20,Colombia,Cali,Cliente_61,Zapatos,Calzado,41,3,50
306,2024-03-12,Ecuador,Quito,Cliente_188,Zapatos,Calzado,39,3,50
307,2024-01-06,Ecuador,Quito,Cliente_20,Zapatos,Calzado,41,1,50
308,2024-02-28,Ecuador,Cuenca,Cliente_77,Chaqueta,Abrigos,L,5,60
309,2024-02-20,Perú,Lima,Cliente_154,Chaqueta,Abrigos,L,2,60
310,2024-02-08,Perú,Arequipa,Cliente_244,Zapatos,Calzado,42,5,50
311,2024-03-15,Ecuador,Guayaquil,Cliente_158,Chaqueta,Abrigos,M,4,60
312,2024-03-14,Perú,Lima,Cliente_117,Zapatos,Calzado,39,5,50
313,2024-03-21,Perú,Lima,Cliente_195,Zapatos,Calzado,38,5,50
314,2024-03-30,Ecuador,Cuenca,Cliente_57,Jeans,Denim,S,5,35
315,2024-01-20,Ecuador,Quito,Cliente_212,Zapatos,Calzado,39,4,50
316,2024-03-01,Perú,Lima,Cliente_32,Zapatos,Calzado,41,5,50
317,2024-03-25,Perú,Lima,Cliente_245,Jeans,Denim,L,3,35
318,2024-03-09,Perú,Arequipa,Cliente_176,Chaqueta,Abrigos,M,4,60
319,2024-02-01,Perú,Arequipa,Cliente_143,Chaqueta,Abrigos,L,2,60
320,2024-03-31,Perú,Arequipa,Cliente_107,Jeans,Denim,M,3,35
