id_venta,fecha,pais,ciudad,id_cliente,id_producto,talla,cantidad
91,2024-02-11,Colombia,Medellín,77,3,M,4
92,2024-03-01,Colombia,Medellín,78,2,39,1
93,2024-03-24,Perú,Lima,79,3,M,1
94,2024-01-20,Ecuador,Quito,80,4,S,5
95,2024-02-29,Ecuador,Guayaquil,81,1,L,2
96,2024-01-14,Colombia,Bogotá,82,1,S,3
97,2024-01-10,Ecuador,Guayaquil,83,2,40,2
98,2024-01-06,Ecuador,Cuenca,84,3,M,5
99,2024-03-23,Perú,Arequipa,85,3,M,5
100,2024-02-16,Ecuador,Guayaquil,86,2,37,4
101,2024-03-24,Perú,Lima,87,2,38,5
102,2024-02-04,Perú,Arequipa,88,2,40,5
103,2024-02-29,Ecuador,Quito,61,3,L,2
104,2024-02-11,Perú,Arequipa,89,3,M,4
105,2024-02-05,Colombia,Bogotá,90,3,L,3
106,2024-02-22,Perú,Lima,91,4,S,2
107,2024-02-27,Perú,Lima,92,2,42,4
108,2024-02-09,Ecuador,Guayaquil,93,4,M,2
109,2024-02-12,Colombia,Medellín,94,3,L,5
110,2024-01-30,Perú,Arequipa,95,3,L,3
111,2024-03-29,Perú,Lima,96,3,M,5
112,2024-03-08,Ecuador,Quito,97,2,39,5
113,2024-01-23,Ecuador,Quito,98,3,M,3
114,2024-01-07,Ecuador,Cuenca,99,4,M,1
115,2024-01-14,Colombia,Cali,100,4,L,4
116,2024-02-13,Perú,Arequipa,96,2,40,4
117,2024-02-21,Ecuador,Guayaquil,101,2,37,1
118,2024-03-13,Ecuador,Cuenca,102,1,S,2
119,2024-03-18,Ecuador,Quito,103,1,L,4
120,2024-03-16,Perú,Arequipa,104,2,40,3
121,2024-01-27,Colombia,Cali,14,1,L,1
122,2024-01-23,Colombia,Cali,105,1,S,2
123,2024-03-29,Ecuador,Quito,106,1,M,4
124,2024-03-30,Colombia,Bogotá,107,4,M,3
125,2024-03-25,Ecuador,Cuenca,65,4,M,5
126,2024-02-04,Colombia,Bogotá,108,4,L,2
127,2024-03-13,Ecuador,Quito,109,4,M,5
128,2024-03-30,Colombia,Bogotá,110,2,42,3
129,2024-03-17,Colombia,Cali,79,2,40,1
130,2024-01-12,Colombia,Cali,111,3,L,1
131,2024-03-01,Perú,Lima,112,3,M,2
132,2024-02-25,Perú,Arequipa,101,3,M,5
133,2024-02-11,Ecuador,Guayaquil,45,3,L,3
134,2024-02-06,Ecuador,Guayaquil,113,2,42,4
135,2024-02-02,Perú,Lima,88,2,37,3
136,2024-02-29,Ecuador,Guayaquil,114,1,L,5
137,2024-01-07,Ecuador,Quito,115,3,L,4
138,2024-03-30,Colombia,Cali,116,4,M,4
139,2024-02-09,Ecuador,Quito,105,4,L,2
140,2024-01-15,Ecuador,Cuenca,117,2,37,2
141,2024-03-06,Ecuador,Cuenca,46,4,M,3
142,2024-03-11,Colombia,Medellín,118,2,38,4
143,2024-02-23,Colombia,Bogotá,85,4,S,3
144,2024-03-16,Perú,Arequipa,82,1,M,3
145,2024-03-02,Perú,Arequipa,6,4,M,5
146,2024-01-25,Colombia,Cali,80,2,40,3
147,2024-02-10,Perú,Arequipa,119,4,M,1
148,2024-03-04,Perú,Arequipa,120,2,42,2
149,2024-01-13,Ecuador,Cuenca,121,3,M,4
150,2024-01-10,Colombia,Bogotá,106,4,M,2
151,2024-02-12,Colombia,Medellín,122,2,42,1
152,2024-03-20,Colombia,Medellín,8,2,41,1
153,2024-02-25,Ecuador,Cuenca,123,3,M,1
154,2024-01-04,Perú,Lima,124,2,38,3
155,2024-02-25,Colombia,Bogotá,118,3,L,3
156,2024-01-22,Ecuador,Cuenca,125,2,41,2
157,2024-03-04,Ecuador,Cuenca,48,2,41,2
158,2024-02-28,Ecuador,Quito,126,2,42,3
159,2024-01-21,Perú,Lima,66,2,39,5
160,2024-02-28,Colombia,Medellín,98,3,L,3
161,2024-02-18,Ecuador,Guayaquil,30,2,37,2
162,2024-03-25,Colombia,Cali,127,3,L,1
163,2024-02-06,Colombia,Bogotá,111,1,L,4
164,2024-03-20,Perú,Arequipa,128,4,L,2
165,2024-02-09,Perú,Lima,72,1,L,1
166,2024-02-07,Ecuador,Cuenca,129,3,M,1
167,2024-03-10,Perú,Arequipa,130,4,S,2
168,2024-02-07,Perú,Arequipa,131,4,M,4
169,2024-03-27,Ecuador,Guayaquil,132,1,S,2
170,2024-02-03,Perú,Arequipa,19,1,M,1
171,2024-02-18,Ecuador,Guayaquil,133,3,L,5
172,2024-03-20,Ecuador,Cuenca,134,4,M,1
173,2024-03-22,Colombia,Cali,135,4,L,1
174,2024-01-06,Perú,Arequipa,136,2,37,2
175,2024-03-09,Colombia,Medellín,137,1,S,2
176,2024-01-20,Colombia,Medellín,138,3,L,5
177,2024-02-05,Perú,Lima,139,2,41,4
178,2024-01-31,Perú,Arequipa,16,4,M,4
179,2024-02-20,Ecuador,Cuenca,90,3,L,1
180,2024-03-23,Ecuador,Quito,27,2,37,2
181,2024-01-27,Ecuador,Guayaquil,8,4,S,5
182,2024-01-19,Perú,Lima,140,4,S,3
183,2024-01-23,Colombia,Bogotá,141,4,L,3
184,2024-01-31,Perú,Lima,88,4,S,3
185,2024-02-23,Ecuador,Quito,121,3,M,2
186,2024-02-16,Ecuador,Cuenca,142,1,M,4
187,2024-03-19,Perú,Lima,143,2,41,2
188,2024-01-08,Perú,Arequipa,144,2,42,1
189,2024-01-10,Colombia,Medellín,145,1,M,4
190,2024-02-05,Colombia,Cali,75,4,S,2
191,2024-02-07,Perú,Arequipa,107,2,41,5
192,2024-03-24,Perú,Arequipa,105,1,L,1
193,2024-02-22,Perú,Lima,131,2,40,2
194,2024-02-10,Colombia,Medellín,70,2,42,1
195,2024-03-28,Colombia,Cali,119,3,L,2
196,2024-01-13,Ecuador,Quito,133,1,S,4
197,2024-03-12,Ecuador,Cuenca,146,1,L,5
198,2024-01-07,Perú,Lima,109,2,39,4
199,2024-03-05,Perú,Arequipa,14,3,M,5
200,2024-02-14,Ecuador,Cuenca,37,2,38,1
201,2024-03-12,Colombia,Bogotá,12,3,M,4
202,2024-02-04,Ecuador,Cuenca,59,3,M,2
203,2024-03-13,Colombia,Medellín,113,1,S,2
204,2024-01-28,Ecuador,Quito,147,1,S,5
205,2024-02-09,Colombia,Medellín,148,3,M,3
206,2024-03-20,Perú,Lima,76,1,S,2
207,2024-03-03,Perú,Lima,149,3,L,4
208,2024-02-14,Colombia,Medellín,62,4,L,1
209,2024-01-06,Ecuador,Guayaquil,150,2,41,3
210,2024-02-08,Colombia,Cali,14,1,S,2
211,2024-01-01,Ecuador,Guayaquil,151,3,L,1
212,2024-03-09,Perú,Arequipa,111,4,S,4
213,2024-02-25,Perú,Arequipa,78,1,M,1
214,2024-02-21,Colombia,Bogotá,152,3,L,5
215,2024-01-22,Colombia,Bogotá,86,2,37,3
216,2024-02-01,Perú,Arequipa,57,1,M,1
217,2024-02-13,Perú,Arequipa,53,1,M,3
218,2024-03-08,Colombia,Bogotá,56,1,L,1
219,2024-01-14,Ecuador,Guayaquil,118,3,M,2
220,2024-03-24,Colombia,Bogotá,153,4,L,2
221,2024-03-15,Ecuador,Cuenca,154,2,40,5
222,2024-01-09,Perú,Arequipa,106,3,M,4
223,2024-01-08,Colombia,Cali,94,3,L,5
224,2024-01-05,Perú,Lima,38,3,L,4
225,2024-03-19,Colombia,Medellín,43,1,L,1
226,2024-03-24,Colombia,Medellín,155,1,M,5
227,2024-01-08,Colombia,Cali,156,2,41,2
228,2024-01-06,Ecuador,Guayaquil,40,1,L,2
229,2024-03-19,Perú,Arequipa,157,2,41,5
230,2024-02-13,Colombia,Medellín,158,3,L,4
231,2024-03-12,Perú,Arequipa,159,1,M,1
232,2024-03-15,Colombia,Medellín,108,4,M,1
233,2024-03-31,Colombia,Medellín,23,2,38,5
234,2024-01-17,Colombia,Cali,121,2,42,3
235,2024-01-03,Ecuador,Cuenca,16,2,41,3
236,2024-01-25,Colombia,Bogotá,103,4,M,4
237,2024-03-05,Ecuador,Quito,160,1,M,1
238,2024-02-18,Perú,Lima,17,3,M,5
239,2024-01-06,Ecuador,Quito,161,4,L,4
240,2024-02-06,Colombia,Cali,154,4,M,5
241,2024-01-25,Ecuador,Cuenca,162,4,M,4
242,2024-03-05,Perú,Arequipa,163,2,39,4
243,2024-02-02,Colombia,Bogotá,158,4,L,2
244,2024-01-16,Perú,Arequipa,44,3,M,5
245,2024-01-19,Ecuador,Quito,57,3,L,5
246,2024-02-23,Ecuador,Quito,164,2,39,1
247,2024-01-11,Colombia,Cali,165,3,M,4
248,2024-01-19,Ecuador,Quito,166,3,M,3
249,2024-03-31,Ecuador,Guayaquil,106,2,42,2
250,2024-02-02,Colombia,Cali,5,1,S,1
251,2024-01-31,Ecuador,Cuenca,98,2,37,3
252,2024-02-28,Ecuador,Quito,167,4,M,5
253,2024-03-14,Ecuador,Guayaquil,168,1,L,5
254,2024-03-19,Perú,Lima,94,3,L,1
255,2024-03-08,Ecuador,Cuenca,169,2,38,1
256,2024-01-06,Ecuador,Cuenca,170,1,M,4
257,2024-02-14,Colombia,Medellín,168,1,M,1
258,2024-02-15,Perú,Lima,171,3,M,1
259,2024-03-30,Colombia,Cali,144,4,L,4
260,2024-01-05,Perú,Lima,172,4,S,4
261,2024-02-09,Ecuador,Quito,64,4,S,3
262,2024-03-23,Colombia,Cali,173,2,39,1
263,2024-02-04,Colombia,Medellín,7,1,L,3
264,2024-02-19,Colombia,Medellín,131,2,42,4
265,2024-02-04,Ecuador,Guayaquil,174,2,39,5
266,2024-01-24,Perú,Arequipa,171,1,M,5
267,2024-03-25,Colombia,Medellín,175,1,S,3
268,2024-02-14,Colombia,Medellín,176,2,38,4
269,2024-03-22,Ecuador,Cuenca,38,3,L,3
270,2024-03-27,Ecuador,Cuenca,157,2,39,5
271,2024-01-09,Ecuador,Quito,177,2,37,2
272,2024-01-05,Perú,Arequipa,17,3,L,5
273,2024-01-10,Perú,Arequipa,178,3,L,4
274,2024-03-24,Ecuador,Cuenca,4,3,L,3
275,2024-03-04,Ecuador,Quito,112,1,L,2
276,2024-03-31,Colombia,Cali,176,1,M,3
277,2024-01-16,Ecuador,Cuenca,137,3,L,2
278,2024-01-12,Ecuador,Guayaquil,73,4,L,4
279,2024-02-07,Perú,Arequipa,179,1,L,5
280,2024-01-29,Ecuador,Cuenca,180,4,M,5
281,2024-02-16,Ecuador,Quito,99,4,M,1
282,2024-03-19,Perú,Arequipa,181,2,41,2
283,2024-03-08,Ecuador,Guayaquil,161,2,42,4
284,2024-03-23,Colombia,Cali,66,1,S,3
285,2024-03-22,Colombia,Medellín,89,3,M,5
286,2024-01-20,Ecuador,Guayaquil,102,1,S,5
287,2024-03-07,Ecuador,Quito,44,3,M,3
288,2024-02-05,Ecuador,Guayaquil,182,4,L,5
289,2024-03-16,Perú,Arequipa,93,1,L,2
290,2024-01-11,Ecuador,Quito,124,3,M,1
291,2024-03-20,Perú,Arequipa,183,4,L,4
292,2024-02-01,Colombia,Cali,184,3,L,4
293,2024-01-21,Colombia,Medellín,72,1,L,1
294,2024-03-18,Colombia,Medellín,185,2,38,3
295,2024-01-17,Colombia,Cali,10,3,L,4
296,2024-01-16,Perú,Lima,186,3,M,4
297,2024-02-07,Colombia,Bogotá,187,4,S,1
298,2024-03-14,Perú,Arequipa,188,4,S,3
299,2024-03-04,Ecuador,Quito,189,2,41,4
300,2024-02-28,Colombia,Bogotá,168,1,M,5
301,2024-02-06,Ecuador,Cuenca,190,3,M,1
302,2024-02-25,Perú,Arequipa,191,3,M,1
303,2024-01-06,Colombia,Cali,113,3,L,3
304,2024-02-06,Ecuador,Cuenca,66,4,M,5
305,2024-03-20,Colombia,Cali,192,2,41,3
306,2024-03-12,Ecuador,Quito,130,2,39,3
307,2024-01-06,Ecuador,Quito,136,2,41,1
308,2024-02-28,Ecuador,Cuenca,193,3,L,5
309,2024-02-20,Perú,Lima,179,3,L,2
310,2024-02-08,Perú,Arequipa,24,2,42,5
311,2024-03-15,Ecuador,Guayaquil,189,3,M,4
312,2024-03-14,Perú,Lima,194,2,39,5
313,2024-03-21,Perú,Lima,36,2,38,5
314,2024-03-30,Ecuador,Cuenca,141,4,S,5
315,2024-01-20,Ecuador,Quito,114,2,39,4
316,2024-03-01,Perú,Lima,195,2,41,5
317,2024-03-25,Perú,Lima,39,4,L,3
318,2024-03-09,Perú,Arequipa,196,3,M,4
319,2024-02-01,Perú,Arequipa,4,3,L,2
320,2024-03-31,Perú,Arequipa,197,4,M,3
321,2024-03-12,Perú,Arequipa,198,3,L,3
322,2024-01-19,Colombia,Bogotá,199,2,40,3
323,2024-03-24,Ecuador,Guayaquil,81,1,M,4
324,2024-02-04,Perú,Arequipa,134,4,S,5
325,2024-03-16,Perú,Arequipa,80,4,S,5
326,2024-01-07,Ecuador,Quito,9,4,L,2
327,2024-01-01,Colombia,Medellín,34,2,37,2
328,2024-02-06,Ecuador,Guayaquil,200,2,40,2
329,2024-01-30,Colombia,Cali,122,1,S,5
330,2024-01-05,Perú,Lima,132,4,M,2
331,2024-02-08,Colombia,Bogotá,201,3,M,1
332,2024-03-23,Perú,Lima,202,3,L,4
333,2024-02-04,Perú,Arequipa,203,4,L,4
334,2024-03-23,Ecuador,Guayaquil,81,4,L,4
335,2024-02-07,Perú,Lima,201,1,L,3
336,2024-02-24,Perú,Lima,64,4,L,4
337,2024-01-24,Colombia,Bogotá,204,2,42,1
338,2024-02-19,Colombia,Medellín,177,4,S,3
339,2024-03-14,Colombia,Medellín,205,3,L,5
340,2024-03-26,Colombia,Cali,192,3,M,1
341,2024-03-31,Colombia,Medellín,206,4,M,5
342,2024-01-29,Perú,Lima,150,3,L,5
343,2024-02-17,Ecuador,Guayaquil,138,4,M,5
344,2024-01-11,Perú,Arequipa,121,4,S,5
345,2024-01-15,Colombia,Cali,195,3,M,5
346,2024-03-07,Perú,Lima,149,4,S,3
347,2024-03-03,Ecuador,Cuenca,207,4,L,5
348,2024-03-06,Perú,Arequipa,138,1,M,2
349,2024-03-27,Colombia,Cali,189,1,L,4
350,2024-01-28,Perú,Lima,82,2,39,1
351,2024-03-10,Ecuador,Quito,28,2,39,1
352,2024-01-24,Ecuador,Guayaquil,137,1,M,4
353,2024-02-18,Perú,Arequipa,147,3,L,4
354,2024-01-16,Ecuador,Cuenca,208,4,L,3
355,2024-01-01,Perú,Arequipa,209,4,L,2
356,2024-01-30,Colombia,Medellín,40,2,41,4
357,2024-01-15,Colombia,Medellín,139,4,M,2
358,2024-01-09,Perú,Arequipa,9,1,S,2
359,2024-02-01,Perú,Lima,143,2,41,1
360,2024-01-08,Colombia,Medellín,204,4,L,2
361,2024-02-10,Perú,Arequipa,210,4,L,5
362,2024-03-25,Perú,Arequipa,211,4,M,2
363,2024-03-12,Ecuador,Guayaquil,125,3,L,1
364,2024-03-23,Perú,Arequipa,18,2,37,3
365,2024-02-08,Perú,Arequipa,147,2,40,2
366,2024-02-08,Ecuador,Cuenca,185,2,38,2
367,2024-03-08,Colombia,Bogotá,191,2,40,5
368,2024-03-23,Colombia,Bogotá,212,3,M,3
369,2024-01-07,Colombia,Medellín,213,1,L,2
370,2024-03-16,Colombia,Cali,214,1,S,2
371,2024-01-02,Ecuador,Guayaquil,14,4,M,3
372,2024-02-01,Ecuador,Cuenca,115,1,L,4
373,2024-02-29,Colombia,Bogotá,122,3,L,4
374,2024-03-06,Perú,Arequipa,151,3,L,3
375,2024-02-17,Colombia,Bogotá,188,2,39,2
376,2024-01-03,Colombia,Bogotá,215,4,L,2
377,2024-02-12,Perú,Arequipa,111,3,M,2
378,2024-03-24,Colombia,Cali,77,4,M,5
379,2024-02-15,Colombia,Medellín,216,2,40,2
380,2024-03-23,Ecuador,Cuenca,28,2,38,5
381,2024-01-01,Perú,Lima,114,1,L,1
382,2024-01-02,Ecuador,Cuenca,217,4,S,2
383,2024-03-22,Perú,Arequipa,218,3,M,5
384,2024-03-11,Perú,Arequipa,161,1,S,5
385,2024-03-05,Ecuador,Quito,62,3,L,1
386,2024-01-31,Ecuador,Quito,203,1,L,2
387,2024-01-11,Perú,Arequipa,165,3,L,4
388,2024-02-08,Colombia,Medellín,145,4,L,2
389,2024-02-18,Perú,Lima,105,1,M,4
390,2024-01-11,Colombia,Bogotá,219,1,L,2
391,2024-01-06,Colombia,Cali,111,3,M,5
392,2024-01-10,Ecuador,Cuenca,220,2,39,1
393,2024-01-27,Perú,Lima,185,4,M,1
394,2024-03-13,Perú,Arequipa,168,1,M,2
395,2024-03-29,Perú,Arequipa,212,3,L,2
396,2024-01-30,Perú,Arequipa,153,1,S,4
397,2024-03-22,Colombia,Cali,46,2,39,1
398,2024-02-18,Colombia,Medellín,221,4,M,5
399,2024-02-07,Ecuador,Cuenca,40,2,37,5
400,2024-02-18,Perú,Lima,17,1,M,2
401,2024-01-12,Perú,Arequipa,222,3,L,1
402,2024-01-17,Colombia,Medellín,181,3,L,1
403,2024-03-06,Ecuador,Guayaquil,35,2,41,5
404,2024-01-12,Ecuador,Quito,148,1,M,5
405,2024-01-11,Colombia,Bogotá,214,3,L,4
406,2024-01-22,Ecuador,Cuenca,204,4,L,4
407,2024-01-09,Colombia,Medellín,223,3,L,2
408,2024-01-10,Colombia,Medellín,169,2,39,4
409,2024-01-26,Colombia,Bogotá,224,2,41,5
410,2024-02-12,Ecuador,Quito,36,3,M,4
411,2024-01-18,Colombia,Medellín,179,3,L,5
412,2024-01-23,Colombia,Cali,132,4,M,3
413,2024-02-11,Colombia,Medellín,147,2,41,2
414,2024-01-26,Colombia,Medellín,171,3,M,5
415,2024-03-31,Ecuador,Cuenca,225,1,L,4
416,2024-01-18,Colombia,Medellín,102,1,M,4
417,2024-02-18,Ecuador,Guayaquil,66,4,L,4
418,2024-03-09,Colombia,Cali,43,2,41,4
419,2024-03-17,Perú,Arequipa,23,1,M,5
420,2024-01-06,Ecuador,Quito,226,3,M,5
421,2024-01-02,Perú,Arequipa,123,3,L,1
422,2024-02-20,Colombia,Bogotá,135,4,M,3
423,2024-01-14,Perú,Lima,175,3,M,4
424,2024-02-14,Colombia,Bogotá,206,1,L,2
425,2024-02-14,Colombia,Medellín,24,4,L,4
426,2024-02-08,Ecuador,Guayaquil,143,2,39,1
427,2024-03-27,Perú,Lima,227,1,M,1
428,2024-02-12,Perú,Lima,214,4,L,2
429,2024-01-24,Colombia,Medellín,221,4,M,2
430,2024-02-24,Colombia,Bogotá,228,4,M,5
431,2024-03-31,Ecuador,Cuenca,167,4,S,3
432,2024-01-26,Perú,Lima,224,4,M,3
433,2024-03-17,Ecuador,Guayaquil,170,2,41,3
434,2024-02-28,Perú,Arequipa,229,1,M,3
435,2024-02-10,Perú,Arequipa,192,1,L,2
436,2024-03-29,Ecuador,Guayaquil,108,1,S,3
437,2024-03-14,Perú,Arequipa,187,2,41,2
438,2024-03-29,Colombia,Bogotá,229,2,42,5
439,2024-01-24,Perú,Lima,13,2,39,2
440,2024-03-03,Colombia,Cali,137,1,M,1
441,2024-02-23,Ecuador,Guayaquil,230,2,40,4
442,2024-01-29,Colombia,Bogotá,231,1,L,1
443,2024-01-22,Ecuador,Guayaquil,224,4,L,3
444,2024-02-04,Perú,Arequipa,202,1,L,1
445,2024-03-10,Colombia,Cali,217,1,L,4
446,2024-02-27,Colombia,Bogotá,47,4,M,1
447,2024-01-27,Colombia,Bogotá,232,2,37,2
448,2024-01-27,Perú,Arequipa,233,4,L,2
449,2024-03-09,Ecuador,Cuenca,216,3,L,5
450,2024-02-04,Colombia,Cali,64,3,L,5
451,2024-02-05,Perú,Lima,182,4,M,1
452,2024-02-01,Perú,Lima,234,4,S,3
453,2024-02-27,Colombia,Bogotá,153,3,L,4
454,2024-03-29,Perú,Lima,162,2,41,3
455,2024-02-28,Colombia,Medellín,235,3,M,1
456,2024-01-28,Ecuador,Cuenca,190,2,38,4
457,2024-03-14,Colombia,Medellín,236,3,L,5
458,2024-01-13,Perú,Arequipa,86,3,M,1
459,2024-01-01,Ecuador,Quito,104,4,M,4
460,2024-01-21,Ecuador,Cuenca,198,4,L,3
461,2024-02-17,Ecuador,Cuenca,227,3,L,1
462,2024-03-24,Ecuador,Guayaquil,207,3,M,4
463,2024-01-10,Perú,Lima,237,1,S,4
464,2024-03-30,Perú,Lima,196,2,37,1
465,2024-01-30,Ecuador,Guayaquil,187,4,M,1
466,2024-02-17,Ecuador,Cuenca,179,1,S,3
467,2024-01-09,Ecuador,Guayaquil,22,4,L,2
468,2024-01-28,Perú,Lima,238,4,M,3
469,2024-01-13,Colombia,Cali,204,2,38,1
470,2024-02-10,Ecuador,Cuenca,204,2,39,4
471,2024-03-17,Ecuador,Guayaquil,44,1,S,5
472,2024-03-18,Perú,Lima,239,3,M,5
473,2024-01-31,Ecuador,Cuenca,190,2,39,1
474,2024-01-10,Colombia,Bogotá,163,4,M,5
475,2024-03-13,Ecuador,Guayaquil,240,3,M,4
476,2024-01-03,Colombia,Cali,241,4,M,1
477,2024-02-20,Ecuador,Guayaquil,43,4,S,1
478,2024-01-11,Colombia,Cali,19,2,40,4
479,2024-01-11,Perú,Lima,56,3,M,3
480,2024-03-22,Ecuador,Quito,242,3,L,5
481,2024-01-08,Colombia,Cali,243,2,42,2
482,2024-03-18,Ecuador,Guayaquil,244,1,M,5
483,2024-03-31,Colombia,Cali,166,4,S,1
484,2024-03-07,Perú,Lima,26,4,M,3
485,2024-02-04,Perú,Arequipa,192,4,M,2
486,2024-01-09,Ecuador,Guayaquil,47,2,39,5
487,2024-02-16,Perú,Lima,244,2,40,5
488,2024-02-02,Colombia,Cali,50,4,M,2
489,2024-01-01,Perú,Lima,143,4,L,5
490,2024-02-19,Ecuador,Quito,193,1,M,3
491,2024-02-01,Ecuador,Quito,152,2,38,3
492,2024-02-17,Perú,Arequipa,95,3,M,5
493,2024-01-06,Perú,Lima,113,4,S,5
494,2024-01-12,Ecuador,Guayaquil,99,3,L,3
495,2024-03-13,Colombia,Bogotá,102,3,M,3
496,2024-03-04,Perú,Lima,245,2,39,5
497,2024-01-04,Perú,Lima,246,4,S,4
498,2024-03-25,Perú,Arequipa,147,1,M,1
499,2024-01-31,Perú,Arequipa,247,1,S,5
500,2024-01-12,Colombia,Bogotá,143,4,L,3
501,2024-02-28,Ecuador,Cuenca,23,2,42,3
502,2024-01-10,Perú,Lima,201,4,L,4
503,2024-02-03,Ecuador,Guayaquil,13,4,S,3
504,2024-02-04,Colombia,Cali,246,3,L,4
505,2024-01-20,Ecuador,Quito,248,4,L,1
506,2024-01-16,Ecuador,Guayaquil,19,2,39,4
507,2024-02-03,Colombia,Bogotá,95,2,39,4
508,2024-02-11,Ecuador,Quito,249,3,M,2
509,2024-03-06,Ecuador,Cuenca,76,4,M,4
510,2024-02-21,Perú,Arequipa,250,3,M,1
